community_number,n_members,n_wolves,Q1_posts,Q2_posts,Q3_posts,top_domains,n_domains,top_hashtags,n_hashtags,top_terms,n_posts,total_engagement,mean_engagement
21,1,0,0,0,0,NA,0,municipios; miguelalves; convencoesmunicipais; 57anos; josedefreitas; 66anos; 65anos; emendaparlamentar; 67anos; saomigueldotapuio; luiscorreia; pedroii; emancipacaopolitica; capitaodecampos; ilhagrande,0.9999999999999991,emancipacao; gurgueia; parab; acolhedor; castelodopiaui; ciro; jaico; convencoesmunicipal; miguelalve; oeira; cironogueira; nogueira; exprefeito; arab; palmeiral; ministrochefe; beneditino; pesame; tiel; tapuio,819,35224,43.00854700854701
22,2,0,2,0,0,es1; seag.es.gov.br; veja; jornalfolha1; perolacapixaba; portaljornaldonorte; incaper.es.gov.br; agenciacongresso; agazeta; esfala; redeoc; psbnacamara; tconline; eshoje; gazetaonline,2.0000000000000004,agriculturafamiliar; saomateus; cafeicultura; pmes; afonsoclaudio; santateresa; vendanovadoimigrante; cachoeirodeitapemirim; ifes; governadorlindenberg; saogabrieldapalha; governofederal; agroturismo; vilavalerio; vilavelha,2.0000000000000013,deputadodavitorio; seag; casagrande; incaper; colatino; casagrandees; revsol; renato; governoes; conilon; linhar; timedacidadania; cafeicultura; cafeconilon; infraestruturarural; panca; agroturismo; itarano; agricola; saomateus,3434,299520,87.22189866045429
23,1,0,0,0,0,NA,0,contran; detran; ctb; transito; cnh; denatran; prefeituradesaopaulo; ppi; multa; transportecoletivo; representantes; multas; transporteescolar; combateaocovid; dpvat,1,abar; toxicologico; condutor; contran; multa; detran; cobrador; tacografo; exametoxicologico; denatran; motorista; arouche; desconto; inmetro; detransp; vencimento; dpvat; alteracoe; prorrogacao; rodizio,303,115431,380.96039603960395
24,2,0,12,2,0,prosnacamara; deputadotoninho; camara.leg.br; pros; selesnafes; gazetadopovo; alcinea; oantagonista; diariodoamapa; aen.pr.gov.br; exame; veja; youtube; extra.globo; instagram,1.9999999999999998,pros; laranjaldojari; notadepesar; saojosedospinhais; dialogo; otrabalhonaopara; saomateusdosul; agenda; luto; segurancanotransito; saojoaodotriunfo; filho; maioamarelo; cerroazul; 21deabril,1.9999999999999993,prosap; alisson; valentino; fazendariogrande; cutia; basso; fazenda; setti; apagao; dacamara; amiraldo; unifap; repouso; darianny; viabilizacao; climatizacao; bailique; letnar; iguacu; cortesia,4760,384302,80.73571428571428
25,1,0,0,0,0,NA,0,otrabalhovaicontinuar; pandemia; municipio; laveasmaos; covid; juntossomosmaisfortes; estamosjuntos; amigos; soumunicipalista; aquietrabalho; desenvolvimento; votecerto; saudeemprimeirolugar; vidas; determinacao,1.0000000000000002,sedur; euresoficial; otrabalhovaicontinuar; useamascar; aforcadointerior; baianopoli; ruicostaoficial; macauba; cassiocursino; ottoalencar; juntossomosmaisforte; estamosjuntos; djalmanh; laveasmaos; satiro; conder; brejinhos; soumunicipalista; depvitorbonfim; aquietrabalho,624,27011,43.28685897435897
26,1,0,0,0,0,NA,0,boaviagem; novooriente; 65anos; luto; saopedro; festajunina; bancadadoceara; emoracao; 8demaio; amominhafamilia; solidariedadenacamara; padroeirodoceara; natal2022; saojoao; datamagna,1,genecia; parambuense; quiterianopoli; romulo; asfaltico; pavimentacao; camilo; emancipacao; molhado; roques; trafegar; nenen; bertulino; cavalheiro; concluido; regis; inhamum; juntome; sion; oiticica,444,333115,750.259009009009
27,1,0,1,0,0,informebaiano; aratuonline; nordesteusou; vilacanaria; mulhercontemporanea; classepolitica; bnews; catarse.me; poder360; g1.globo; exame; veja; 019agora; 15binao; 180graus,0.9999999999999999,favela; pelopovo; comissaodecultura; deputadodopovo; saosebastiaodopasse; periferia; comissaodeturismo; projetodelei; santabarbara; feiradesantana; ameliarodrigues; serradoramalho; irmadulce; bomjesusdalapa; deusnocomando,1.0000000000000002,favela; cima; pelopovo; nario; prefsalvador; comissaodecultura; grandao; deputadodopovo; gueto; arrastar; brunoreisba; gamboa; cena; fechadao; limpeza; galera; aloo; acmnetooficial; jario; storie,728,93840,128.9010989010989
28,1,0,0,0,0,NA,0,euclidesdacunha; feiradesantana; novasoure; montesanto; barradochoca; assessoria; campoformoso; tmj; correria; santabarbara; sosbahia; governodoestado; coronavirus; otto; rafaeljambeiro,0.9999999999999998,euclide; canudo; crisopoli; sertaoforte; cerb; cassinho; nenar; nininho; jailma; edifrancio; lulinha; coelba; exprefeito; otto; povoado; heliopoli; emancipacao; gabriel; menezes; monte,969,103572,106.88544891640866
29,1,0,0,0,0,vegazeta; ricardoizar; google; camara.leg.br; faunanews; veja; aquiacontece; sallve; youtube; vakinha; 94fm; exame; senado.leg.br; vejasp; folha,0.9999999999999994,animalnaoecoisa; brasilmelhor; profissoes; campanhaeleitoral; causaanimal; animais; pelosmunicipios; eleicoes; parkinson; porvoce; juntos; juntossomosfortes; vocepode; trabalhando; moradia,0.9999999999999994,animalnaoecoisa; vote1011; brasilmelhor; campanhaeleitoral; castramovel; cand; causaanimal; parkinson; estanaconta; profissoes; vulneravel; tatiane; juntossomosforte; pelosmunicipio; propaganda; porvoce; caes; pelosmunicipios; zoofilia; castracao,1365,603673,442.25128205128203
30,1,0,2,0,0,ricardoteobaldo; folha; blogdomagno; jc; whatsapp; folhape; extra.globo; camara.leg.br; exame; 019agora; 15binao; 180graus; 18horas; 1news; 24h,1,prefeitoseleitos; podemos19; planejamentoestrategico; maisvacina; abreuelima; feiranova; pl2564pisosalarialnacional; vamosjuntos; previdencia; diadosprofessores; entrevista; enfermagem; 01demaio; 02dejulho; 02deoutubro,1,camaradosdeputado; orlando; pajeu; florencio; celia; romero; lero; delson; juntospoder; savio; exprefeito; tercio; ingazeiro; lyra; jorge; welliton; prefeitoseleitos; wanderson; itaenga; miguel,938,105222,112.17697228144989
31,1,0,0,0,0,NA,0,NA,0,sepse; crematorio; septico; velorio; saguao; pace; dorr; monte; tina; abdominal; caju; dejaneiro; alerj; coco; cemiterio; choque; despedida; interrupcao; tropa; internado,9,4352,483.55555555555554
32,1,0,2,2,0,portaldolitoralpb; portaltvcariri; exame; al.pb.leg.br; pm.pb.gov.br; blogchicosoares; blogdoninja; veja; maispb; psdbnacamara; folha; band; glo.bo; 019agora; 15binao,1.0000000000000002,diasmelhoresvirao; mandatopopular; camarafederal; corona; quarentena; cariri; covid; vacinacovid; mulheresunidas; empoderamentofeminino; coronavirus; lockdown; cidades; fiqueemcasa; autoestima,1,diasmelhoresvirao; cariri; mandatopopular; encontrarer; camarafederal; ifpb; ficarar; hemodialise; ednahenriqueoficialo; filomena; camaradosdeputado; lito; micheline; campina; silvestre; ouca; cacimba; guia; michel; amado,916,101476,110.78165938864629
33,1,0,4,2,0,NA,0,sudene; governadorvaladares; juntossomosmaisfortes; pisosalarial; eleicoes; lestedeminas; maissaude; covid19; vacinacao; governofederal; fechadocomobrasil; minasgeraisoficial; recursossaude; esporte; economia,1.0000000000000004,fechadocomopovo; valadar; sudene; cleitinho; valadarenses; avozdopovo; luciano; zema; valadarense; samaritano; pacheco; cristao; romeu; prefeitodopovo; rodrigopacheco; doutor; drluciano; desistir; crossfit; promotor,667,75070,112.5487256371814
34,1,0,4,1,0,faustopinato; regiaonoroeste; band; oantagonista; poder360; folha; estadao; progressistas; oextra.net; jovempan; correiobraziliense; g1.globo; veja; cnnbrasil; glo.bo,1.0000000000000004,etica; transparencia; estamosjuntos; governonaarea; equilibrio; juntossomosmaisfortes; compromissocomasaude; brasilchina; saojosedoriopreto; brasilcontraocoronavirus; agronegocio; todospelasvacinas; brdomar; brics; renda,1.0000000000000002,trabalhoquegeraresultar; fernandopoli; eticanapolitico; brasilchina; trabalhoquegeraresultado; brics; china; doeste; governonaarea; pragmatismo; estamosjuntos; jale; noroeste; chines; dirce; pinatto; visona; etica; juntossomosmaisforte; agro,3629,553895,152.63020115734363
