source,target,similarity_total,similarity_text,similarity_hashtag,similarity_url,similarity_domain,text_share,hashtag_share,url_share,domain_share,max_share,n_active_modalities,non_domain_similarity
ErikaKokay,glauber.braga1,0.3604073718312713,0.39121916455802946,0.4097815893679218,0.1070959105203333,0.46016393211226425,0.7236610479047637,0.15159941088728732,0.039620318151343266,0.08511922305660552,0.7236610479047637,4,0.3532819032397718
josemedeirosMT,ZambelliOficial,0.3603604691835681,0.41398392657003985,0.15639448964655814,0.08451542547285164,0.7837479418143025,0.7658700328737703,0.05786594369461414,0.031270697981692096,0.14499332544992335,0.7658700328737703,4,0.3301185068528013
carlosveraspt,samia.bomfim.psol,0.36033956380375504,0.3561469823808707,0.7342688462849529,0.04003404341150383,0.29501785385470497,0.658909943390382,0.2716951527734893,0.014813450953096682,0.054581452883032115,0.658909943390382,4,0.36500540022868716
blogdabenedita,gleisi.hoffmann,0.36025917220607645,0.4340762936907269,0.1735900226959117,0.03459492030108326,0.6467547601898881,0.8032666983098589,0.06424634858766408,0.01280371575801515,0.11968323734446186,0.8032666983098589,4,0.3397952016358042
deputadorogeriocorreia,fernandapsol,0.3600906904513067,0.370768049758301,0.5928551823385961,0.031279491157384265,0.4454105121946299,0.6864345743820114,0.2195206922624825,0.011582078991704835,0.08246265436380126,0.6864345743820114,4,0.3539964174696408
AleSilvaOficial,onelsonbarbudo,0.3600865947169471,0.42034724879300944,0.307051662446809,0,0.5837231079304949,0.7782336340946568,0.11369548953011252,0,0.10807087637523069,0.7782336340946568,3,0.34411255805883656
afonsoflorence13,LidicedaMata,0.360024518045395,0.3888679631990135,0.6143918617740901,0.013990461756514746,0.25492349162958083,0.7200768164535241,0.2275370448322716,0.005181299626469961,0.047204839087734554,0.7200768164535241,3,0.36753173421795315
DeputadoFederalVicentinho,Joseairtoncirilo,0.35995163445024164,0.478783407322698,0.10974315448566105,0,0.39195413455532213,0.8867550739216201,0.04065107419344381,0,0.07259385188493601,0.8867550739216201,3,0.357665741585593
dep.zarattini,TulioGadelhaOficial,0.3598137948381965,0.41185566476736174,0.594956222879171,0,0.08873782914098771,0.7630903737354258,0.2204681908306545,0,0.016441435433919727,0.7630903737354258,3,0.37917636381656855
filipebarrosoficial,ZambelliOficial,0.35980162340756966,0.43658380422573495,0.20653868861548777,0.04454354031873739,0.5290218509877446,0.8089342864196204,0.07653798655656373,0.016506703479871057,0.09802102354394487,0.8089342864196204,4,0.3477144642947
