Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
wolneyqueirozpe	Wolney Queiroz	wolneyqueirozpe	PDT	PE	0	-0.356	3	262	262	74	36326	490.8918918918919	9	3	0
depzeneto	Zé Neto	depzeneto	PT	BA	0	-0.691	3	245	245	146	29613	202.82876712328766	9	4	0
Joseairtoncirilo	José Airton Cirilo	Joseairtoncirilo	PT	CE	0	-0.691	3	233	233	99	7370	74.44444444444444	14	5	0
depjorgesolla	Jorge Solla	depjorgesolla	PT	BA	0	-0.691	3	222	222	210	228842	1089.7238095238095	17	13	0
Drdenisbezerra	Denis Bezerra	Drdenisbezerra	PSB	CE	0	-0.427	3	219	219	31	4432	142.96774193548387	7	4	0
alexandrefrotaoficial77	Alexandre Frota	alexandrefrotaoficial77	PROS	SP	0	0.19	3	217	217	79	39300	497.46835443037975	14	12	0
deputadaaliceportugal	Alice Portugal	deputadaaliceportugal	PCDOB	BA	0	-0.822	3	212	212	473	173284	366.35095137420717	44	33	0
tabataamaralSP	Tabata Amaral	tabataamaralSP	PSB	SP	0	-0.427	3	210	210	96	246691	2569.6979166666665	19	12	0
niltotattosp	Nilto Tatto	niltotattosp	PT	SP	0	-0.691	3	207	207	325	44949	138.30461538461537	22	15	0
DeputadoAndreFigueiredo	André Figueiredo	DeputadoAndreFigueiredo	PDT	CE	0	-0.356	3	204	204	93	42819	460.4193548387097	5	3	0
PauloTeixeira13	Paulo Teixeira	PauloTeixeira13	PT	SP	0	-0.691	3	204	204	385	592806	1539.7558441558442	64	45	0
JandiraFeghaliOficial	Jandira Feghali	JandiraFeghaliOficial	PCDOB	RJ	0	-0.822	3	203	203	328	1989131	6064.423780487805	60	32	0
josiasgomespt	Josias Gomes	josiasgomespt	PT	BA	0	-0.691	3	201	201	217	3870	17.83410138248848	12	9	0
davidmirandario12	David Miranda	davidmirandario12	PDT	RJ	0	-0.356	3	197	197	294	924416	3144.2721088435374	40	30	0
freixo.marcelo	Marcelo Freixo	freixo.marcelo	PSB	RJ	0	-0.427	3	196	196	313	1910436	6103.629392971246	79	50	0
renildovcalheiros	Renildo Calheiros	renildovcalheiros	PCDOB	PE	0	-0.822	3	190	190	59	2726	46.20338983050848	13	8	0
rubensotoni	Rubens Otoni	rubensotoni	PT	GO	0	-0.691	3	187	187	104	11206	107.75	36	12	0
IvanValentePSOL	Ivan Valente	IvanValentePSOL	PSOL	SP	0	-0.874	3	183	183	557	1082318	1943.120287253142	84	68	0
