name,facebook_handle,twitter_handle,party,state
Deputado Paulo Ramos,pauloramosrio,deppauloramos,PDT,RJ
Deputado Robério Monteiro,deproberiomonteiro,,PTB,CE
Deputado Sanderson,deputadosanderson,DepSanderson,PL,RS
Deputado Sérgio Brito,deputadofederalsergiobrito,,PSD,BA
Deputado Toninho Wandscheer,DeputadoToninho,deputadotoninho,PP,PR
Deputado Vanderlei Macris,vanderleimacris,vanderleimacris,PSDB,SP
Deputado Zé Carlos,DepZeCarlosPT,Dep_ZeCarlosPT,PT,MA
Diego Andrade,diegoandrademg,diegoandrademg,PSD,MG
Diego Garcia,diegogarciapr,diegogarciapr,REPUBLICANOS,PR
Domingos Neto,DomingosNetoCeara,Domingos_Neto,PSD,CE
Domingos Sávio,domingossaviomg,DomingosSavioMG,PL,MG
Dr Mauro Nazif,DrMauroNazif,nazif_dr,PSB,RR
Dr. Damião,drdamiao,Drdamiaof,PDT,PB
Dr. Frederico,DrFredericoMG,DrFredericoMG,PATRIOTA,MG
Dr. Hiran Gonçalves,drhirangoncalves,drhiran_,PP,RR
Dr. Jaziel Pereira,Dr.JazielPereira,jaziel_dr,PL,CE
Dr. Leonardo,drleonardomt,DrLeonardomt,REPUBLICANOS,MT
Dr. Luiz Ovando,drluizovando,drluizovando,PP,MS
Dr. Luizinho,doutorluizinho,Doutorluizinhot,PP,RJ
Dr. Mário Heringer,deputadomarioheringer,mario_heringer,PDT,MG
Dra Marina,DraMarinaPeloPiaui,dramarinapi,REPUBLICANOS,PI
Dra. Soraya Manato,drasorayamanato,DraManato,PTB,ES
Dulce Miranda,dulcepaganimiranda,,MDB,TO
Edilazio Júnior,edilaziojunior,EdilazioJunior_,PSD,MA
Edmilson Rodrigues,edmilsonpsol,EdmilsonPSOL,PSOL,PA
Edna Henrique,ednahenriqueoficial,,REPUBLICANOS,PB
Eduardo Barbosa,deputadofederaleduardobarbosa,eduardobarbosa_,PSDB,MG
Eduardo Bismarck,eduardobismarckce,eduardobismarck,PDT,CE
Eduardo Bolsonaro,bolsonaro.enb,BolsonaroSP,PL,SP
Eduardo Braide,eduardobraide,EduardoBraide,PSD,MA
Eduardo Costa,dep.eduardocosta,dep_eduardo,PODEMOS,PA
Eduardo Cury,EduardoCuryOficial,Eduardo_Cury,PSDB,SP
Eduardo da Fonte,eduardodafonte,eduardodafonte,PP,PE
Efraim Filho,efraimfilho,efraimfilho,DEM,PB
Elcione Barbalho,elcionebarbalh0,elcionebarbalh0,MDB,PA
Eli Borges,dep.eliborges,elidiasborges,PL,TO
Elias Vaz,PoliticoEliasVaz,EliasVazGyn,PSB,GO
Elmar Nascimento,elmarnascimento,elmarnascimento,DEM,BA
Elvino Bohn Gass,bohngass13,BohnGass,PT,RS
Emanuel Pinheiro,emanuelpinheiromt,emanuelzinhomt,MDB,MT
Emidinho Madeira,emidinhomadeira,,PL,MG
Enio Verri,enioverri,enioverri,PT,PR
Enrico Misasi,enricogmisasi,enricomisasi,MDB,SP
Erika Kokay,ErikaKokay,erikakokay,PT,DF
Eros Biondini,erosbiondini,erosbiondini,PL,MG
Euclydes Pettersen,EuclydesPettersenOficial,EuclydesPetter,PSC,MG
Evair Vieira de Melo,evair.vieirademelo,EvairdeMelo,PP,ES
Expedito Netto,dep.expeditonetto,netto_expedito,PSD,RO
