name,facebook_handle,twitter_handle,party,state,PEC135
Loester Trutis,loestertrutisdep,LTrutis,PL,MS,1
Lourival Gomes,deputadolourivalgomes,LourivalGomesrj,NOVO,RJ,1
Lucas Gonzalez 3022,lucasvgonzalez,lucasvgonzalez,NOVO,MG,1
Lucas Redecker,LucasRedecker,LucasRedecker,PSDB,RS,1
Lucas Vergilio,lucasvergiliogo,LucasVergilioGO,SOLIDARIEDADE,GO,0
Luciano Bivar,Bivaroficial,,PSL,PE,0
Lucio Mosquini,deputadoluciomosquini,,MDB,RO,1
Luis Miranda USA,luismirandausa,LuisMirandaUSA,REPUBLICANOS,DF,0
Luis Tibé,luistibeoficial,LuisTibeOficial,AVANTE,MG,0
Luísa Canziani,canzianiluisa,luisa_canziani,PSD,PR,
Luiz Antônio Corrêa,depluizantonio,depluizantonio,PP,RJ,0
Luiz Caetano,luiz.caetanoBA,,PT,BA,
Luiz Carlos,Luizcarlosjr45,DepLuizCarlos,PSDB,AP,
Luiz Flávio Gomes,institutoluizflaviogomes,,PSB,SP,
Luiz Lima,oficialluizlima,Oficialluizlima,PL,RJ,1
Luiz Nishimori,nishimoriluiz,LuizNishimori,PSD,PR,1
Luiz Philippe de Orleans e Bragança,lpbragancabr,lpbragancabr,PL,RJ,1
Luiza Erundina,luizaerundina,luizaerundina,PSOL,SP,0
Luizão Goulart,luizaogoulartpr,luizaogoulart,SOLIDARIEDADE,PR,0
Luizianne Lins,luiziannelinsPT,LuizianneLinsPT,PT,CE,0
Magda Mofatto,MagdaMofatto.Goias,MofattoMagda,PL,GO,1
Major Fabiana,majorfabiana,majorfabianadep,PL,RJ,1
Major Vitor Hugo,DeputadoVitorHugo,MajorVitorHugo,PL,GO,1
Mara Rocha,soumararocha,soumara15,MDB,AC,1
Marcel van Hattem,marcelvh,marcelvanhattem,NOVO,RS,1
Marcelo Álvaro Antônio,marceloalvaroantonio,Marceloalvaroan,PL,MG,
Marcelo Aro,marceloaro,marceloaro,PP,MG,0
Marcelo Calero,calero.rio,caleromarcelo,PSD,RJ,0
Marcelo Freixo,freixo.marcelo,MarceloFreixo,PSB,RJ,0
Marcelo Ramos,marceloramosam,marceloramosam,PSD,AM,0
Marcio Alvino,marcioalvino,,PL,SP,0
Márcio Biolchi,deputadobiolchi,marciobiolchi,MDB,RS,1
Márcio Jerry,marciojerry,marciojerry,PCdoB,MA,
Marco Bertaiolli,marco.bertaiolli,MarcoBertaiolli,PSD,SP,0
Marco Feliciano,PastorMarcoFeliciano,marcofeliciano,PL,SP,1
Marcos Aurélio Sampaio,marcosaureliosampaio,MarcosA_Sampaio,PSDB,PI,0
Marcos Pereira 1010,marcospereira1010,marcospereira04,REPUBLICANOS,SP,1
Margarete Coelho,margaretecoelho.castro,MargaretCoelho,PP,PI,0
Margarida Salomão,jfmargarida,JFMargarida,PT,MG,
Maria do Rosário,DeputadaMariaDoRosario,mariadorosario,PT,SP,0
Maria Rosas,mariarosas.oficial,mariarosassp,REPUBLICANOS,SP,1
Mariana Carvalho,marianacarvalho.ro,DeputadaMariana,REPUBLICANOS,RO,1
Marília Arraes,arraes,MariliaArraes,SOLIDARIEDADE,PE,0
Mário Negromonte Júnior,mario.negromontejunior,JrNegromonte,PP,BA,0
Marlon Santos,MarlonSantosPolitico,,PL,RS,1
Marreca Filho,depmarrecafilho,depmarrecafilho,PATRIOTA,MA,0
Marx Beltrão,MarxBeltrao,marxbeltrao,PP,AL,1
Maurício Bacelar,MauricioBacelarOficial,BacelarMauricio,PV,BA,0
Mauro Benevides Filho,maurobenevidesf,mauro_bfilho,PDT,CE,
Miguel Lombardi,miguellombardi.deputadofederal,,PL,SP,1
Milton Vieira,miltonvieiraoficial,MiltonVieiraOfc,REPUBLICANOS,SP,
Misael Varella,deputadomisaelvarella,VarellaMisael,PSD,MG,1
Moses Rodrigues,MosesRodriguesOficial,DepFederalMoses,MDB,CE,1
Motta,mottadoscomerciarios,deputadomotta,PL,SP,0
Natália Bonavides,nataliabonavides,natbonavides,PT,RN,0
Nelson Barbudo,onelsonbarbudo,nelsonbarbudo,PL,MT,1
Nelson Pelegrino,nelsonpelegrino,nelsonpelegrino,PT,BA,
Neri Geller,nerigelleroficial,,PP,MT,1
Ney Leprevost,amigoneyleprevost,neyleprevost,PSD,PR,
Nilson Pinto,DeputadoNilsonPinto,DepNilsonPinto,PSDB,PA,0
Nilto Tatto,niltotattosp,NiltoTatto,PT,SP,0
Norma Ayub,DeputadaNormaAyub,normaayub11,PP,ES,1
Odair Cunha,odaircunhamg,odaircunhamg,PT,MG,0
Onyx Lorenzoni,onyx.lorenzoni,onyxlorenzoni,DEM,RS,
Orlando Silva,orlandosilvasp,orlandosilva,PCdoB,SP,0
Osires Damaso,OsiresDamaso,deposiresdamaso,PSC,TO,1
Osmar Terra,DeputadoOsmarTerra,OsmarTerra,MDB,RS,1
Ossesio Silva,Ossesio.Silva,OssesioSilva,REPUBLICANOS,PE,1
Otoni de Paula,OtoniDeputadoFederal,OtoniDepFederal,MDB,RJ,1
Ottaci,ottacinascimento,OttaciRR,SOLIDARIEDADE,RR,1
Otto Alencar,ottoalencaroficial,OttoAlencarFilh,PSD,BA,0
Padre João,padrejoao,padrejoaozinho,PT,SP,0
Pastor Alex Santana,depalexsantana,depalexsantana,REPUBLICANOS,BA,1
Pastor Isidório Filho,pastorisidoriofilho,prisidorio,AVANTE,BA,
Patrus Ananias,patrusananias13,Patrus_Ananias,PT,MG,0
Paula Belmonte,paulabelmonteoficial,paulambelmonte,CIDADANIA,DF,1
Paulão,paulaodopt,paulaodopt,PT,AL,0
Paulo Abi-Ackel,abiackelpaulo,pauloabiackel,PSDB,MG,
Paulo Azi,pauloazi,PauloAzi,DEM,BA,
Paulo Bengtson,prpaulobengtson,PauloBengtson,PTB,PA,1
Paulo Eduardo Martins,PauloEduardoOficial,PauloMartins10,PL,PR,1
Paulo Foletto,PauloFoletto,DeputadoFoletto,PSB,ES,
Paulo Ganime,pauloganime,pauloganime,NOVO,RJ,1
Paulo Pimenta,pimenta13br,Pimenta13Br,PT,RS,0
Paulo Teixeira,PauloTeixeira13,pauloteixeira13,PT,SP,0
Pedro Bezerra,pedrobezerradep,PedroABezerra,PDT,CE,0
