"author","Id","Label","party","PEC135","avg_followers","total_posts","type","PDR_posts"
"depjuliocesarribeiro","author::depjuliocesarribeiro","depjuliocesarribeiro","REPUBLICANOS",1,61748.8561436973,6291,"author",6
"depjuscelinofilho","author::depjuscelinofilho","depjuscelinofilho","UNIAO",-1,216791.261836147,2429,"author",0
"depleomonteiro","author::depleomonteiro","depleomonteiro","PT",0,61530.5299539171,1519,"author",0
"depluizantonio","author::depluizantonio","depluizantonio","PP",0,44524.201622248,863,"author",0
"depmarrecafilho","author::depmarrecafilho","depmarrecafilho","PATRIOTA",0,654.281690140845,239,"author",0
"depmauriciors","author::depmauriciors","depmauriciors","PODEMOS",1,34871.2070938215,874,"author",0
"deproberiomonteiro","author::deproberiomonteiro","deproberiomonteiro","NotApplicable",-1,13278.1637362637,910,"author",0
"depsandroalex","author::depsandroalex","depsandroalex","NotApplicable",-1,73166.8227848101,711,"author",0
"depsilas","author::depsilas","depsilas","REPUBLICANOS",1,268851.871030209,2582,"author",0
"deputadaaliceportugal","author::deputadaaliceportugal","deputadaaliceportugal","PCdoB",0,95368.0303692906,8232,"author",0
"deputadamariadorosario","author::deputadamariadorosario","deputadamariadorosario","PT",0,408498.751443459,7102,"author",0
"deputadanormaayub","author::deputadanormaayub","deputadanormaayub","PP",1,23854.4502518892,1588,"author",0
"deputadarosangelagomes","author::deputadarosangelagomes","deputadarosangelagomes","REPUBLICANOS",1,87335.309812307,4210,"author",2
"deputadasorayasantos","author::deputadasorayasantos","deputadasorayasantos","PL",-1,53099.0138713745,793,"author",0
"deputado.atilalins","author::deputado.atilalins","deputado.atilalins","PSD",1,19820.7673913043,460,"author",0
"deputadoandrefigueiredo","author::deputadoandrefigueiredo","deputadoandrefigueiredo","PDT",0,83680.5069826492,2363,"author",0
"deputadoarnaldojardim","author::deputadoarnaldojardim","deputadoarnaldojardim","CIDADANIA",0,123628.74266118,3768,"author",0
"deputadoatilalira","author::deputadoatilalira","deputadoatilalira","PP",0,29244.3464912281,684,"author",0
"deputadobacelar","author::deputadobacelar","deputadobacelar","PV",0,77995.5815645846,1649,"author",0
"deputadobetofaro","author::deputadobetofaro","deputadobetofaro","PT",0,14394.8728238418,3389,"author",0
"deputadobiolchi","author::deputadobiolchi","deputadobiolchi","MDB",1,41839.0443101712,993,"author",0
"deputadocajado","author::deputadocajado","deputadocajado","PP",1,31924.4897119342,1701,"author",0
"deputadocarlossampaio","author::deputadocarlossampaio","deputadocarlossampaio","PSDB",0,252506.770750988,506,"author",0
"deputadodavitoria","author::deputadodavitoria","deputadodavitoria","PP",1,24824.2392065344,1714,"author",0
"deputadoediolopes","author::deputadoediolopes","deputadoediolopes","PL",0,23792.0999187652,1231,"author",0
