Source	Target	Type	Weight	similarity_total	weight_base	multimodal_multiplier	weight_multimodal_bonus	similarity_text	similarity_hashtag	similarity_domain	active_text	active_hashtag	active_domain	n_modalities_above_threshold	share_text	share_hashtag	share_domain	max_share	non_domain_similarity
deputadorogeriocorreia	pimenta13br	Undirected	1.9469987367575476	0.6489995789191826	0.6489995789191826	3	1.9469987367575476	0.7327773316611695	0.6779980651342132	0.536223339962165	1	1	1	3	0.3763625100658807	0.34822727531057546	0.2754102146235438	0.3763625100658807	0.7053876983976914
deputadohenriquefontana	gleisi.hoffmann	Undirected	1.946238741028028	0.6487462470093427	0.6487462470093427	3	1.946238741028028	0.8342647874026738	0.4982111833104916	0.6137627703148627	1	1	1	3	0.4286549074457353	0.25598667460875335	0.31535841794551134	0.4286549074457353	0.6662379853565827
deputadorogeriocorreia	PauloTeixeira13	Undirected	1.9435634510148216	0.6478544836716073	0.6478544836716073	3	1.9435634510148216	0.6701787040448637	0.5617796935796114	0.7116050533903465	1	1	1	3	0.3448195651626055	0.2890462327259144	0.3661342021114801	0.3661342021114801	0.6159791988122376
carlosveraspt	deputadomarcon	Undirected	1.938972126400631	0.6463240421335437	0.6463240421335437	3	1.938972126400631	0.5042167773099405	0.8322256454122717	0.6025297036784188	1	1	1	3	0.26004333452999784	0.4292097003772591	0.31074696509274313	0.4292097003772591	0.6682212113611061
ErikaKokay	rubensotoni	Undirected	1.931412562804614	0.643804187601538	0.643804187601538	3	1.931412562804614	0.49378897364728325	0.7689325310053494	0.6686910581519813	1	1	1	3	0.25566209061530065	0.3981192552091401	0.34621865417555925	0.3981192552091401	0.6313607523263163
DeputadaMariaDoRosario	gleisi.hoffmann	Undirected	1.9241155065991147	0.6413718355330382	0.6413718355330382	3	1.9241155065991147	0.7199606001475953	0.6609270015093471	0.5432279049421721	1	1	1	3	0.3741774325285335	0.3434965308696771	0.28232603660178934	0.3741774325285335	0.6904438008284712
DeputadoBetoFaro	gleisi.hoffmann	Undirected	1.9226580692566833	0.6408860230855611	0.6408860230855611	3	1.9226580692566833	0.6919376201198272	0.6345388959297296	0.5961815532071264	1	1	1	3	0.3598859470562732	0.33003210819230483	0.3100819447514219	0.3598859470562732	0.6632382580247784
DeputadoBetoFaro	deputadomarcon	Undirected	1.9221822352360873	0.6407274117453624	0.6407274117453624	3	1.9221822352360873	0.5027772037844284	0.6759578910832071	0.7434471403684515	1	1	1	3	0.2615658362500036	0.35166170964023313	0.3867724541097632	0.3867724541097632	0.5893675474338178
carlosveraspt	gleisi.hoffmann	Undirected	1.91357521059915	0.63785840353305	0.63785840353305	3	1.91357521059915	0.6468576496221483	0.7164097764874299	0.5503077844895718	1	1	1	3	0.3380361775378632	0.3743828685276072	0.28758095393452954	0.3743828685276072	0.6816337130547891
deputadaaliceportugal	TulioGadelhaOficial	Undirected	1.9131880321572599	0.63772934405242	0.63772934405242	3	1.9131880321572599	0.4854645840347109	0.705041489065802	0.7226819590567469	1	1	1	3	0.25374640436534296	0.3685165687926743	0.3777370268419827	0.3777370268419827	0.5952530365502564
deputadaaliceportugal	fernandapsol	Undirected	1.9107450832165997	0.6369150277388665	0.6369150277388665	3	1.9107450832165997	0.486948871277931	0.8981034119571119	0.5256927999815568	1	1	1	3	0.2548476380000351	0.4700278544981104	0.2751245075018544	0.4700278544981104	0.6925261416175215
ErikaKokay	wolneyqueirozpe	Undirected	1.9086315164617242	0.6362105054872415	0.6362105054872415	3	1.9086315164617242	0.4424492728573078	0.7218026791992165	0.7443795644052001	1	1	1	3	0.23181492553236935	0.3781781202781954	0.3900069541894353	0.3900069541894353	0.5821259760282621
davidmirandario12	IvanValentePSOL	Undirected	1.9081126127373338	0.6360375375791113	0.6360375375791113	3	1.9081126127373338	0.6073506599105933	0.7496531466123534	0.5511088062143871	1	1	1	3	0.3182991694810414	0.39287678390056785	0.28882404661839073	0.39287678390056785	0.6785019032614734
davidmirandario12	DeputadaMariaDoRosario	Undirected	1.9080792054294426	0.6360264018098142	0.6360264018098142	3	1.9080792054294426	0.5372273728340735	0.7861494795509072	0.584702353044462	1	1	1	3	0.28155402108329264	0.41201092560199676	0.30643505331471066	0.41201092560199676	0.6616884261924904
bohngass13	DeputadaMariaDoRosario	Undirected	1.9068246237128021	0.6356082079042674	0.6356082079042674	3	1.9068246237128021	0.653654746843439	0.6704034739784155	0.5827664028909478	1	1	1	3	0.3427975172518486	0.3515810870288975	0.3056213957192539	0.3515810870288975	0.6620291104109273
deputadaaliceportugal	wolneyqueirozpe	Undirected	1.905578965234593	0.6351929884115309	0.6351929884115309	3	1.905578965234593	0.45495740737769186	0.7545997349883935	0.6960218228685073	1	1	1	3	0.23875022535299806	0.395994996143073	0.36525477850392896	0.395994996143073	0.6047785711830427
