Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
ZeRicardoAM	José Ricardo	ZeRicardoAM	PT	AM	0	-0.691	2	2	2	104	26796	257.65384615384613	5	2	0
depdimasfabiano.toledo	Deputado Federal Dimas Fabiano	depdimasfabiano.toledo	PP	MG	1	0.51	2	1	1	10	1743	174.3	2	1	0
deputadomisaelvarella	Misael Varella	deputadomisaelvarella	PSD	MG	1	0.296	2	1	1	4	556	139	4	0	0
domingossaviomg	Domingos Sávio	domingossaviomg	PL	MG	1	0.493	2	1	1	55	13069	237.61818181818182	1	1	0
francocartafina11	Franco Cartafina	francocartafina11	PP	MG	1	0.51	2	1	1	7	1256	179.42857142857142	1	0	0
GiovaniFeltes1	Giovani Feltes	GiovaniFeltes1	MDB	RS	1	0.137	2	1	1	6	973	162.16666666666666	2	1	0
LeandreOficial	Leandre Dal Ponte	LeandreOficial	PSD	PR	1	0.296	2	1	1	8	1436	179.5	1	0	0
mariarosas.oficial	Maria Rosas	mariarosas.oficial	REPUBLICANOS	SP	1	0.55	2	1	1	12	1865	155.41666666666666	3	0	0
PauloFoletto	Paulo Foletto	PauloFoletto	PSB	ES	0	-0.427	2	1	1	4	418	104.5	0	0	0
rosemodestoms	Rose Modesto	rosemodestoms	REPUBLICANOS	MS	1	0.55	2	1	1	30	15710	523.6666666666666	5	1	0
zemariogo	Zé Mário	zemariogo	MDB	GO	1	0.137	2	1	1	37	3801	102.72972972972973	1	1	0
danilocabralpe	Danilo Cabral	danilocabralpe	PSB	PE	0	-0.427	3	32	32	61	14664	240.39344262295083	8	4	0
rafaelmottarn	Rafael Motta	rafaelmottarn	PSB	RN	0	-0.427	3	21	21	35	5888	168.22857142857143	11	1	0
DeputadoNicoletti	Deputado Federal Nicoletti	DeputadoNicoletti	PSL	RR	1	0.803	3	16	16	67	14811	221.0597014925373	10	7	1
LeoMoraes.19	Leo Moraes	LeoMoraes.19	PODEMOS	RO	1		3	14	14	29	33729	1163.0689655172414	3	2	0
juarezcostamt	Juarez Costa	juarezcostamt	MDB	MT	1	0.137	3	12	12	15	1289	85.93333333333334	4	1	0
profmarcivania	Professora Marcivânia	profmarcivania	PCDOB	AP	0	-0.822	3	12	12	20	5560	278	1	1	0
AdrianoDoBaldyOficial	Dep. Adriano do Baldy	AdrianoDoBaldyOficial	PP	GO	0	0.51	3	11	11	23	969	42.130434782608695	4	0	0
DepGonzagaPatriota	Gonzaga Patriota	DepGonzagaPatriota	PSB	PE	0	-0.427	3	11	11	19	2109	111	3	1	0
professoradayanepimentel	Professora Dayane Pimentel	professoradayanepimentel	PSL	BA	0	0.803	3	11	11	13	13632	1048.6153846153845	1	1	0
VicentinhoJr	Vicentinho Júnior	VicentinhoJr	PP	TO	0	0.51	3	11	11	19	372	19.57894736842105	4	0	0
augusto.coutinho	Augusto Coutinho	augusto.coutinho	REPUBLICANOS	PE	0	0.55	3	10	10	28	1765	63.035714285714285	2	0	0
dep.alinegurgel	Aline Gurgel	dep.alinegurgel	REPUBLICANOS	AM	1	0.55	3	10	10	21	1715	81.66666666666667	2	0	0
deputadoluciomosquini	Lucio Mosquini	deputadoluciomosquini	MDB	RO	1	0.137	3	10	10	21	4205	200.23809523809524	6	3	1
dulcepaganimiranda	Dulce Miranda	dulcepaganimiranda	MDB	TO	0	0.137	3	10	10	8	635	79.375	0	0	0
silvio.costafilhoi	Silvio Costa Filho	silvio.costafilhoi	REPUBLICANOS	PE	0	0.55	3	10	10	12	2624	218.66666666666666	2	1	0
andredepaulaoficial	André de Paula	andredepaulaoficial	PSD	PE	0	0.296	3	9	9	37	3869	104.56756756756756	1	0	0
nishimoriluiz	Luiz Nishimori	nishimoriluiz	PSD	PR	1	0.296	3	9	9	4	852	213	3	0	0
RaulHenryPE	Raul Henry	RaulHenryPE	MDB	PE	0	0.137	3	9	9	35	7230	206.57142857142858	10	5	0
fernandomonteirope	Fernando Monteiro	fernandomonteirope	PP	PE	0	0.51	3	8	8	5	217	43.4	1	0	0
silviacristina.ro	Silvia Cristina	silviacristina.ro	PL	RO	1	0.493	3	8	8	16	2856	178.5	4	2	0
